,balanced_acc_mean_test,f1_mean_test,recall_mean_test,specificity_mean_test,balanced_acc_std_test,f1_std_test,recall_std_test,specificity_std_test
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 80, 'n_estimators': 5}",0.6806181188658724,0.8110627355995366,0.5031313131313132,0.8581049246004315,0.02813106359634882,0.017841350279405036,0.0450816126689879,0.019253250002061018
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 80, 'n_estimators': 10}",0.6836430274902675,0.8225294614997594,0.48703030303030304,0.8802557519502321,0.015053717537782693,0.00895409848932759,0.025252735352661346,0.008582202720951426
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 80, 'n_estimators': 20}",0.6835294132482836,0.8326035299830776,0.465030303030303,0.902028523466264,0.01994176704528399,0.010032953387677875,0.039026067904989935,0.010289691857490712
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 80, 'n_estimators': 80}",0.7041259579102969,0.8446500933399527,0.49721212121212127,0.9110397946084724,0.025698253935710697,0.008938352013681622,0.05479049336748767,0.007427006684782661
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 80, 'n_estimators': 100}",0.7021162095642198,0.8438989088180513,0.4931919191919191,0.9110404999365205,0.025990283840383592,0.009730456620929678,0.0541783983434027,0.007325164399933282
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 80, 'n_estimators': 200}",0.6974241275768873,0.8404423635951576,0.4871919191919192,0.9076563359618557,0.026495014612500083,0.008927689230324819,0.056547341912413986,0.006231179354402107
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 60, 'n_estimators': 20}",0.676733715008426,0.8375942078379592,0.4349292929292929,0.9185381370875595,0.022262942607436807,0.010885505355415534,0.04467412644604221,0.01076682791779522
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 60, 'n_estimators': 80}",0.6770762801597204,0.8446174682899986,0.420969696969697,0.9331828633497439,0.020617397551641357,0.01180039665731854,0.03687987100324234,0.010250765647616277
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 60, 'n_estimators': 100}",0.6794515146812965,0.8459467599780945,0.424969696969697,0.933933332392896,0.0202779956042104,0.011445596257577476,0.03544527203250412,0.008259930992258807
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 70, 'n_estimators': 20}",0.6929502148115755,0.8422575507305201,0.47111111111111115,0.9147893185120399,0.024507003173271598,0.01201140279844734,0.04541713387459315,0.007749739409594242
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 70, 'n_estimators': 80}",0.6892900954415717,0.8440614050681384,0.457030303030303,0.9215498878528404,0.01521556679160768,0.007651290138426649,0.02999197933797857,0.007604227357560347
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 70, 'n_estimators': 100}",0.6961868227336776,0.8485769123931766,0.4670707070707071,0.9253029383966483,0.018991538818292592,0.009673487528287195,0.035855768846526685,0.00806053090241097
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 100, 'n_estimators': 20}",0.6929595222919998,0.8272701966184052,0.503030303030303,0.8828887415536967,0.015416794760264705,0.011139701387828134,0.020898108666141432,0.01231726905281551
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 100, 'n_estimators': 80}",0.6990962480680067,0.8342252547773086,0.5051717171717172,0.8930207789642963,0.021590653601284947,0.009815338940884526,0.04251579347281428,0.00892754404178284
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 100, 'n_estimators': 100}",0.6997401575745607,0.8340457590276623,0.5072121212121212,0.892268193937,0.02494874023956459,0.009495352304798388,0.05037614255984956,0.004813699348755029
